experiment,suite,environment,phase,metric,target,baseline,paired_seed_count,target_mean,baseline_mean,paired_mean_difference,ci95_low,ci95_high,effect_size_dz,p_value,oracle_excluded,p_value_holm
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,high_level_steps,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,primitive_steps,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,reward,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,errors,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,repeats,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,prediction_score,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,holdout_score,full_aassr,contextual_policy,30,1.0,0.0,1.0,0.9999999999999999,1.0,1.7751104772046158e+16,4.999750012499375e-05,True,0.00014999250037498125
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,imagined_nodes,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,imagination_depth,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,actual_return,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,runtime_seconds,full_aassr,contextual_policy,30,0.0022838783166953367,0.0019656730832454438,0.0003182052334498925,0.00018755245003073166,0.00044959978343104016,0.8370141144521371,4.999750012499375e-05,True,0.00024998750062496874
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,real_transitions,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,imagined_transitions,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,action_proposals,full_aassr,contextual_policy,30,4.0,4.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,repeat_rate,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,error_rate,full_aassr,contextual_policy,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,1.0
autonomy,autonomy,opaque_dependency_l4,evaluation_unseen_zero_shot,success,full_aassr,dqn,30,0.0,0.03333333333333333,-0.03333333333333333,-0.058333333333333334,-0.0125,-0.5120028248509644,0.014899255037248137,True,0.05959702014899255
