condition,seed,success_rate,steps_to_flag_success_mean,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean,episodes,successes
C4,8,0.6666666666666666,85.0,143.26666666666668,0.31750636786438946,0.023522920281845043,0.06330328641799726,14.229915075570899,30,20
C4,9,0.6333333333333333,79.84210526315789,119.0,0.3866524417079274,0.00963934028207631,0.04960227793767278,11.236852369700978,30,19
DQN_PARTIAL,0,0.7,88.33333333333333,156.8,0.3028442135738296,0.02488644436714281,0.0,14.041666666666668,30,21
DQN_PARTIAL,1,0.6,88.61111111111111,135.5,0.4023142619761131,0.005241276533853259,0.0,11.513333333333334,30,18
DQN_PARTIAL,2,0.4,100.25,120.06666666666666,0.5360113784404946,0.005629471976053945,0.0,8.776666666666667,30,12
DQN_PARTIAL,3,0.4,102.25,145.46666666666667,0.4805359902705907,0.075899349057997,0.0,9.886666666666667,30,12
DQN_PARTIAL,4,0.6333333333333333,94.47368421052632,158.7,0.3516744349457488,0.048489193857976676,0.0,13.003333333333334,30,19
DQN_PARTIAL,5,0.6,103.83333333333333,165.7,0.3522881518436481,0.10770237642775925,0.0,12.116666666666667,30,18
DQN_PARTIAL,6,0.5,110.86666666666666,140.03333333333333,0.4762597204744373,0.07235019543043608,0.0,9.503333333333334,30,15
DQN_PARTIAL,7,0.5333333333333333,108.1875,138.06666666666666,0.47946295952545237,0.03615238491011401,0.0,10.365,30,16
DQN_PARTIAL,8,0.5,83.0,139.0,0.3876481131498278,0.018267711463856987,0.0,11.518333333333334,30,15
DQN_PARTIAL,9,0.6666666666666666,100.9,163.43333333333334,0.3350640685356215,0.041996788461359555,0.0,13.951666666666668,30,20
ORACLE_MDP,0,1.0,15.133333333333333,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,1,1.0,15.2,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,2,1.0,14.933333333333334,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,3,1.0,15.0,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,4,1.0,15.133333333333333,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,5,1.0,14.866666666666667,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,6,1.0,15.0,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,7,1.0,15.266666666666667,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,8,1.0,15.266666666666667,0.0,0.0,0.0,0.0,1.0,30,30
ORACLE_MDP,9,1.0,15.066666666666666,0.0,0.0,0.0,0.0,1.0,30,30
QLEARN,0,0.7,91.28571428571429,147.13333333333333,0.34036260519061934,0.01952348642438178,0.0,12.831666666666667,30,21
QLEARN,1,0.6333333333333333,84.73684210526316,145.66666666666666,0.3478273332109101,0.023172068450587856,0.0,12.651666666666667,30,19
QLEARN,2,0.6333333333333333,88.36842105263158,151.0,0.35013762353597144,0.021794897046794773,0.0,13.163333333333334,30,19
QLEARN,3,0.7666666666666667,80.78260869565217,143.8,0.2934032441850764,0.029820211237137906,0.0,12.955,30,23
QLEARN,4,0.7,93.85714285714286,154.7,0.34441966145897995,0.021728579663015793,0.0,13.655000000000001,30,21
QLEARN,5,0.7666666666666667,93.65217391304348,150.5,0.3411156610773594,0.020421198743668448,0.0,13.391666666666667,30,23
QLEARN,6,0.43333333333333335,89.6923076923077,149.26666666666668,0.4042820919622931,0.018586447801480954,0.0,12.291666666666668,30,13
QLEARN,7,0.6666666666666666,92.9,152.5,0.36512497174127256,0.02524237074952782,0.0,13.120000000000001,30,20
QLEARN,8,0.7666666666666667,95.34782608695652,151.06666666666666,0.3519324806297396,0.021628130534680108,0.0,13.360000000000001,30,23
QLEARN,9,0.8666666666666667,86.11538461538461,153.2,0.2578986941787897,0.03041129671007067,0.0,14.228333333333333,30,26
