condition,seed,success_rate,steps_to_flag_success_mean,semantic_gain_mean,repeat_rate_mean,error_rate_mean,prophecy_error_mean,total_reward_mean,episodes,successes
C2,4,0.5666666666666667,75.11764705882354,127.0,0.3532662651899641,0.05412802025982669,0.05242491881141706,11.653534885899676,30,17
C2,5,0.4666666666666667,75.78571428571429,123.83333333333333,0.3930928510370955,0.09024102803514568,0.05758296097830224,10.274383332038246,30,14
C2,6,0.4,70.5,122.2,0.42107820282065533,0.12824535133504164,0.07111739526675331,9.464835519877873,30,12
C2,7,0.4666666666666667,70.78571428571429,130.1,0.36222039855208943,0.07243724038242216,0.06004736595861481,11.578886203731795,30,14
C2,8,0.7333333333333333,80.5909090909091,136.1,0.31372051957697594,0.035704202705514713,0.05742311209011775,13.508218296997558,30,22
C2,9,0.7,76.80952380952381,126.86666666666666,0.3297193306709999,0.03957125183947615,0.05867105400633049,12.473733298094768,30,21
C3,0,0.8333333333333334,68.72,135.6,0.21224240106300224,0.04426012669210318,0.06770663924761165,14.123041946333572,30,25
C3,1,0.7333333333333333,77.72727272727273,148.13333333333333,0.25389944316835394,0.04789245270270312,0.07092103638505345,15.201182153249897,30,22
C3,2,0.6333333333333333,61.526315789473685,137.5,0.27624603052515473,0.10141482634179926,0.09081284615717332,13.207498562421675,30,19
C3,3,0.7,75.66666666666667,136.7,0.28139216525426547,0.050702846448654276,0.06380356641335486,13.563277968978248,30,21
C3,4,0.7666666666666667,80.69565217391305,139.9,0.2742466881249656,0.054920192838104835,0.06741569200754552,13.973516250297042,30,23
C3,5,0.7333333333333333,80.45454545454545,141.93333333333334,0.26533597441976503,0.0600178470122648,0.06721847490177826,14.106695872847533,30,22
C3,6,0.6666666666666666,70.0,138.4,0.24826789979002728,0.06093440758803863,0.07099079298663864,13.790959930764004,30,20
C3,7,0.7,73.85714285714286,137.7,0.25218069211439037,0.06785639036267602,0.0677855907197991,13.430476940190163,30,21
C3,8,0.7,65.61904761904762,130.6,0.24514459895697344,0.06425939960929461,0.056754611492440536,12.435392797583056,30,21
C3,9,0.7,66.66666666666667,132.93333333333334,0.22837824076058405,0.04278610301196623,0.06186497499806568,13.488264608791201,30,21
C4,0,0.6,61.333333333333336,137.6,0.2167581183712735,0.0226403422400556,0.06265635699269877,14.262189697985779,30,18
C4,1,0.6333333333333333,64.15789473684211,126.86666666666666,0.25541374671158174,0.048409873708760556,0.08849142133510121,13.022997351368877,30,19
C4,2,0.8666666666666667,68.65384615384616,138.96666666666667,0.16429528208403468,0.04259267267081415,0.0840197862659785,15.101616727055669,30,26
C4,3,0.6333333333333333,61.94736842105263,122.23333333333333,0.26857988107077313,0.03850618512964624,0.07501460297649494,12.224250310319789,30,19
C4,4,0.7666666666666667,58.869565217391305,124.26666666666667,0.18139770885794151,0.0364936681930088,0.07905641245219253,13.206989188488155,30,23
C4,5,0.7333333333333333,68.04545454545455,140.63333333333333,0.18526943030239396,0.03364534522354223,0.07696587859122053,14.999226840501477,30,22
C4,6,0.7333333333333333,68.36363636363636,134.9,0.218999514498972,0.038760803775634435,0.07293882326729509,14.033498942909679,30,22
C4,7,0.7,60.0,126.73333333333333,0.1993992826482715,0.024481355619996124,0.06752007149827217,13.317726227604394,30,21
C4,8,0.7,59.80952380952381,124.8,0.20945061333441406,0.021133940613774004,0.0690898695362277,13.062235278952505,30,21
C4,9,0.6666666666666666,57.45,134.4,0.18444800228963118,0.03168147140191031,0.07251821927989763,14.064447584490866,30,20
DQN_PARTIAL,0,0.6333333333333333,73.84210526315789,114.6,0.39590682239119906,0.021326180190227768,0.0,9.545,30,19
DQN_PARTIAL,1,0.4666666666666667,56.785714285714285,133.73333333333332,0.42600476066909976,0.11234338246639874,0.0,9.55,30,14
DQN_PARTIAL,2,0.5666666666666667,68.76470588235294,122.76666666666667,0.3386911882288884,0.040823420276012386,0.0,10.196666666666667,30,17
DQN_PARTIAL,3,0.6333333333333333,73.94736842105263,136.4,0.30894724247084754,0.07790974940188987,0.0,10.968333333333334,30,19
DQN_PARTIAL,4,0.8333333333333334,74.44,138.8,0.22146554639906507,0.05907576396702578,0.0,12.381666666666668,30,25
DQN_PARTIAL,5,0.7,73.52380952380952,138.9,0.26343724594217893,0.05093050261480081,0.0,12.145000000000001,30,21
DQN_PARTIAL,6,0.36666666666666664,91.36363636363636,116.83333333333333,0.5421209547501746,0.06549497801357178,0.0,7.503333333333334,30,11
