experiment,suite,condition,environment,model,phase,action_family,seed,episode_rows,success,steps,high_level_steps,primitive_steps,reward,errors,repeats,prediction_score,holdout_score,holdout_gain,imagined_nodes,imagination_depth,actual_return,runtime_seconds,real_transitions,imagined_transitions,action_proposals,novelty_score,repeat_rate,error_rate,learning_auc,final_tail_success,first_success_real_transitions,adaptation_auc,episodes_to_50,episodes_to_80,transfer_gain_vs_from_scratch,sample_saving_to_50,sample_saving_to_80,unseen_prediction_calibration_error
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,353,4000,0.125,6.0,,,0.125,0.0,0.0,0.0,0.0,,0.0,0.0,0.125,0.0009621464252923033,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,401,4000,0.05,6.0,,,0.05,0.0,0.0,0.0,0.0,,0.0,0.0,0.05,0.0009844199997896795,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,457,4000,0.0,6.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0009892622499537537,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,503,4000,0.075,6.0,,,0.075,0.0,0.0,0.0,0.0,,0.0,0.0,0.075,0.000995321799950034,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,557,4000,0.1,6.0,,,0.1,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.001001206525012094,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,601,4000,0.05,6.0,,,0.05,0.0,0.0,0.0,0.0,,0.0,0.0,0.05,0.0009874620998598402,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,659,4000,0.125,6.0,,,0.125,0.0,0.0,0.0,0.0,,0.0,0.0,0.125,0.0010047308250068455,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,701,4000,0.075,6.0,,,0.075,0.0,0.0,0.0,0.0,,0.0,0.0,0.075,0.0009510376750404248,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,761,4000,0.15,6.0,,,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.15,0.0009798937498489977,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
transfer,transfer,from_scratch_contextual_policy,opaque_dependency_l6,tabular_online,evaluation_unseen_adaptation,opaque,809,4000,0.05,6.0,,,0.05,0.0,0.0,0.0,0.0,,0.0,0.0,0.05,0.0010159520250672357,6.0,0.0,6.0,,0.0,0.0,,,,,,,,,,
